,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Auckland,ASB Classic,2007-01-01,4,Outdoor,Hard,1st Round,3,Dulko G.,Myskina A.,59.0,16.0,401.75,1000.0,6.0,1.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,3.75,1.22,4.5,1.18,3.75,1.25,4.7,1.244,3.75,1.25,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-01,16,201363,,,Dulko G.,R,170.0,ARG,21.9192334018,59.0,401.0,200772,2.0,,Myskina A.,R,174.0,RUS,25.4839151266,16.0,1000.0,6-1 6-7(4) 6-2,3,R32,,2.0,4.0,94.0,70.0,48.0,4.0,,12.0,16.0,2.0,4.0,102.0,55.0,33.0,17.0,,7.0,16.0
1,1,Auckland,ASB Classic,2007-01-01,4,Outdoor,Hard,1st Round,3,Loit E.,Birnerova E.,56.0,84.0,418.5,324.75,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.72,2,1.9,1.85,1.8,1.95,1.82,2.12,,,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-01,6,200104,,,Loit E.,L,,FRA,27.5646817248,56.0,418.0,201356,,,Birnerova E.,R,,CZE,22.3819301848,84.0,324.0,6-1 6-1,3,R32,,4.0,1.0,42.0,23.0,19.0,9.0,,3.0,4.0,2.0,10.0,46.0,24.0,13.0,4.0,,0.0,6.0
2,1,Auckland,ASB Classic,2007-01-01,4,Outdoor,Hard,1st Round,3,Craybas J.,Nakamura A.,70.0,57.0,365.5,405.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,1.83,1.83,2.15,1.66,2.0,1.75,2.05,1.87,,,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-01,15,200754,,,Craybas J.,R,160.0,USA,32.4955509925,70.0,365.0,201411,,,Nakamura A.,R,163.0,JPN,23.0116358658,57.0,405.0,7-5 6-2,3,R32,,2.0,4.0,85.0,42.0,25.0,23.0,,9.0,12.0,0.0,6.0,65.0,36.0,22.0,9.0,,2.0,8.0
3,1,Auckland,ASB Classic,2007-01-01,4,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,18.0,180.0,951.0,152.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.16,4.5,1.16,4.85,1.2,4.25,1.185,5.9,1.2,4.3,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-01,5,201294,4.0,,Bartoli M.,R,170.0,FRA,22.2477754962,18.0,951.0,201503,,,Morita A.,R,163.0,JPN,16.810403833,180.0,152.0,7-6(4) 6-3,3,R32,,2.0,3.0,83.0,55.0,32.0,17.0,,7.0,11.0,1.0,7.0,69.0,35.0,18.0,13.0,,9.0,14.0
4,1,Auckland,ASB Classic,2007-01-01,4,Outdoor,Hard,1st Round,3,Pin C.,Perry S.,75.0,44.0,349.0,455.25,6.0,3.0,5.0,7.0,6.0,2.0,2.0,1.0,Completed,2.5,1.5,2.5,1.5,2.5,1.5,2.4,1.667,,,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-01,8,201301,,,Pin C.,U,162.0,FRA,25.3524982888,75.0,349.0,201375,8.0,,Perry S.,R,,USA,22.4887063655,44.0,455.0,6-3 5-7 6-2,3,R32,,0.0,1.0,95.0,78.0,48.0,9.0,,6.0,9.0,3.0,7.0,100.0,68.0,38.0,15.0,,8.0,14.0
5,1,Auckland,ASB Classic,2007-01-01,4,Outdoor,Hard,1st Round,3,Erakovic M.,Tu M.,162.0,90.0,171.0,312.0,6.0,3.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,2.5,1.5,2.7,1.43,,,,,,,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-01,3,201523,,WC,Erakovic M.,R,174.0,NZL,18.8227241615,162.0,171.0,200031,,Q,Tu M.,R,,USA,28.9555099247,90.0,312.0,6-3 4-6 7-5,3,R32,,4.0,7.0,100.0,57.0,36.0,11.0,,5.0,14.0,1.0,11.0,90.0,60.0,31.0,9.0,,5.0,15.0
6,1,Auckland,ASB Classic,2007-01-01,4,Outdoor,Hard,1st Round,3,Razzano V.,Kanepi K.,88.0,78.0,319.0,343.5,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.83,1.83,1.85,1.9,1.91,1.83,1.99,1.917,1.8,1.96,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-01,11,200043,,Q,Razzano V.,R,173.0,FRA,23.6413415469,88.0,319.0,201466,,,Kanepi K.,R,181.0,EST,21.5605749487,78.0,343.0,7-6(1) 6-1,3,R32,,3.0,3.0,52.0,26.0,20.0,14.0,,3.0,5.0,1.0,7.0,84.0,34.0,22.0,18.0,,8.0,13.0
7,1,Auckland,ASB Classic,2007-01-01,4,Outdoor,Hard,1st Round,3,Laine E.,Johansson M.,74.0,140.0,349.75,204.5,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.53,2.37,1.63,2.2,1.63,2.2,1.578,2.63,1.57,2.33,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-01,2,201441,,,Laine E.,L,,FIN,20.7693360712,74.0,349.0,201428,,LL,Johansson M.,R,173.0,FRA,21.6783025325,140.0,204.0,7-6(4) 6-1,3,R32,,4.0,0.0,71.0,43.0,31.0,16.0,,5.0,6.0,2.0,5.0,66.0,41.0,28.0,9.0,,1.0,4.0
8,1,Auckland,ASB Classic,2007-01-02,4,Outdoor,Hard,1st Round,3,Meusburger Y.,Bychkova E.,135.0,76.0,210.75,345.0,7.0,5.0,6.0,0.0,,,2.0,0.0,Completed,1.72,2,1.75,2.0,1.75,2.0,1.806,2.14,,,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-02,7,201423,,Q,Meusburger Y.,R,,AUT,23.2470910335,135.0,210.0,201438,,,Bychkova E.,U,171.0,RUS,21.5742642026,76.0,345.0,7-5 6-0,3,R32,,0.0,2.0,59.0,45.0,29.0,7.0,,2.0,4.0,1.0,3.0,49.0,34.0,19.0,1.0,,2.0,8.0
9,1,Auckland,ASB Classic,2007-01-02,4,Outdoor,Hard,1st Round,3,Suarez P.,Muller M.,178.0,34.0,155.75,545.0,3.0,6.0,6.0,1.0,6.0,1.0,2.0,1.0,Completed,1.57,2.25,1.6,2.25,1.57,2.3,1.556,2.7,1.6,2.28,2007-W-T4-NZL-01A-2007,Auckland,Hard,32,T4,2007-01-02,13,200107,,,Suarez P.,R,170.0,ARG,30.5242984257,178.0,155.0,201310,6.0,,Muller M.,R,,GER,24.2245037645,34.0,545.0,3-6 6-1 6-1,3,R32,,1.0,4.0,89.0,55.0,32.0,20.0,,12.0,15.0,1.0,4.0,63.0,38.0,21.0,9.0,,3.0,10.0
