,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Querrey S.,Darcis S.,63.0,86.0,573.0,474.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.63,2.2,1.533,2.375,1.667,2.4,1.6,2.3,2008-339,Adelaide,Hard,32,A,2007-12-31,14,105023,,,Querrey S.,R,198.0,USA,20.2327173169,63.0,573.0,104327,,,Darcis S.,R,178.0,BEL,23.8001368925,86.0,474.0,7-5 6-4,3,R32,80.0,11.0,2.0,61.0,32.0,26.0,14.0,11.0,1.0,3.0,0.0,6.0,77.0,55.0,34.0,10.0,11.0,7.0,11.0
1,1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Sirianni J.,Stepanek R.,195.0,30.0,218.0,930.0,7.0,6.0,4.0,3.0,,,,,,,1.0,0.0,Retired,6.5,1.1,5.5,1.13,5.5,1.125,5.94,1.184,6.3,1.11,2008-339,Adelaide,Hard,32,A,2007-12-31,13,102512,,WC,Sirianni J.,R,175.0,AUS,32.9527720739,195.0,218.0,103285,5.0,,Stepanek R.,R,185.0,CZE,29.0924024641,30.0,930.0,7-6(3) 4-3 RET,3,R32,99.0,8.0,2.0,67.0,35.0,27.0,17.0,9.0,3.0,4.0,8.0,3.0,61.0,35.0,25.0,16.0,10.0,3.0,5.0
2,1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Becker B.,Smeets R.,84.0,150.0,476.0,286.0,3.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.538,2.76,1.4,2.85,2008-339,Adelaide,Hard,32,A,2007-12-31,10,103794,,,Becker B.,R,178.0,GER,26.5407255305,84.0,476.0,104635,,WC,Smeets R.,L,188.0,AUS,22.1382614648,150.0,286.0,3-6 6-4 6-2,3,R32,107.0,11.0,4.0,80.0,38.0,31.0,24.0,13.0,1.0,2.0,11.0,6.0,90.0,53.0,35.0,21.0,14.0,8.0,11.0
3,1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Zverev M.,Mayer F.,88.0,55.0,468.0,611.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.75,2.0,1.909,1.8,1.893,2.02,1.92,1.84,2008-339,Adelaide,Hard,32,A,2007-12-31,7,104999,,,Zverev M.,L,190.0,GER,20.3586584531,88.0,468.0,104252,,,Mayer F.,R,190.0,GER,24.2381930185,55.0,611.0,6-3 6-3,3,R32,56.0,2.0,0.0,50.0,29.0,26.0,11.0,9.0,0.0,0.0,0.0,4.0,51.0,32.0,20.0,9.0,9.0,0.0,3.0
4,1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Llodra M.,Simon G.,93.0,29.0,460.0,955.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.5,1.5,2.375,1.533,2.34,1.694,2.4,1.54,2008-339,Adelaide,Hard,32,A,2007-12-31,12,103566,,,Llodra M.,L,190.0,FRA,27.6194387406,93.0,460.0,104468,4.0,,Simon G.,R,183.0,FRA,23.0088980151,29.0,955.0,7-6(3) 6-3,3,R32,89.0,1.0,1.0,66.0,41.0,33.0,18.0,11.0,3.0,4.0,7.0,4.0,72.0,44.0,32.0,13.0,10.0,4.0,6.0
5,1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Korolev E.,Jones A.,80.0,131.0,487.0,338.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,,,,,,,,,,,2008-339,Adelaide,Hard,32,A,2008-01-01,11,105095,,,Korolev E.,R,185.0,KAZ,19.8767967146,80.0,487.0,103553,,LL,Jones A.,R,180.0,AUS,27.6796714579,131.0,338.0,6-2 7-6(7),3,R32,82.0,7.0,0.0,65.0,36.0,31.0,16.0,10.0,3.0,3.0,4.0,2.0,67.0,49.0,31.0,12.0,10.0,3.0,5.0
6,1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Guccione C.,Odesnik W.,91.0,126.0,462.0,357.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.6,2.3,1.571,2.25,1.592,2.59,1.67,2.15,2008-339,Adelaide,Hard,32,A,2008-01-01,15,104589,,WC,Guccione C.,L,201.0,AUS,22.4202600958,91.0,462.0,104639,,Q,Odesnik W.,L,180.0,USA,22.1081451061,126.0,357.0,7-5 7-6(5),3,R32,86.0,23.0,4.0,72.0,40.0,35.0,21.0,12.0,2.0,2.0,5.0,1.0,74.0,43.0,31.0,23.0,12.0,4.0,5.0
7,1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Nieminen J.,Klec I.,27.0,224.0,995.0,184.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.2,4.25,1.167,4.5,1.2,5.5,1.18,4.6,2008-339,Adelaide,Hard,32,A,2008-01-01,5,103813,3.0,,Nieminen J.,L,185.0,FIN,26.4394250513,27.0,995.0,103657,,Q,Klec I.,R,183.0,SVK,27.0882956879,224.0,184.0,6-2 6-4,3,R32,66.0,1.0,1.0,48.0,34.0,24.0,10.0,9.0,0.0,1.0,3.0,2.0,65.0,40.0,25.0,9.0,9.0,1.0,5.0
8,1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Spadea V.,Grosjean S.,77.0,53.0,515.0,621.0,4.0,6.0,6.0,1.0,6.0,3.0,,,,,2.0,1.0,Completed,2.87,1.38,3.1,1.35,2.625,1.444,2.94,1.467,2.68,1.45,2008-339,Adelaide,Hard,32,A,2008-01-01,8,102434,,,Spadea V.,R,183.0,USA,33.4510609172,77.0,515.0,103206,8.0,,Grosjean S.,R,175.0,FRA,29.5906913073,53.0,621.0,4-6 6-1 6-3,3,R32,115.0,6.0,3.0,84.0,46.0,31.0,18.0,13.0,5.0,9.0,6.0,5.0,83.0,47.0,33.0,11.0,13.0,3.0,10.0
9,1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Acasuso J.,Falla A.,65.0,81.0,566.0,481.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.8,1.95,1.833,1.833,2.03,1.885,1.84,1.92,2008-339,Adelaide,Hard,32,A,2008-01-01,2,104076,,,Acasuso J.,R,190.0,ARG,25.196440794,65.0,566.0,104268,,,Falla A.,L,185.0,COL,24.128678987,81.0,481.0,6-3 7-6(3),3,R32,101.0,8.0,4.0,76.0,40.0,31.0,14.0,11.0,8.0,12.0,2.0,1.0,68.0,40.0,21.0,14.0,10.0,5.0,10.0
