,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Gasquet R.,Gicquel M.,23,50.0,2320,1428.0,4.0,6.0,6.0,2.0,6.0,2.0,,,,,2.0,1.0,Completed,1.25,3.75,1.27,3.81,1.28,3.5,1.25,3.5,1.27,3.6,2009-339,Brisbane,Hard,32,A,2009-01-04,13,104755,7.0,,Gasquet R.,R,185.0,FRA,22.5516769336,23.0,2320.0,102967,,,Gicquel M.,R,188.0,FRA,31.7700205339,50.0,1428.0,4-6 6-2 6-2,3,R32,133.0,6.0,5.0,91.0,42.0,29.0,26.0,13.0,3.0,5.0,7.0,6.0,100.0,45.0,30.0,23.0,13.0,13.0,18.0
1,1,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Dent T.,Darcis S.,865,59.0,28,1362.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.4,,,,,,,3.0,1.37,2009-339,Brisbane,Hard,32,A,2009-01-04,14,103758,,,Dent T.,R,188.0,USA,27.7015742642,865.0,28.0,104327,,,Darcis S.,R,178.0,BEL,24.8158795346,59.0,1362.0,7-6(0) 6-2,3,R32,86.0,8.0,5.0,68.0,37.0,31.0,13.0,10.0,6.0,8.0,4.0,2.0,70.0,46.0,24.0,14.0,10.0,1.0,5.0
2,1,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Benneteau J.,Ginepri R.,40,49.0,1608,1480.0,3.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,2.1,1.66,2.25,1.65,2.1,1.66,2.1,1.727,1.96,1.8,2009-339,Brisbane,Hard,32,A,2009-01-04,11,103898,,,Benneteau J.,R,185.0,FRA,27.0444900753,40.0,1608.0,104068,,,Ginepri R.,R,183.0,USA,26.2477754962,49.0,1480.0,3-6 6-3 7-5,3,R32,127.0,10.0,9.0,99.0,62.0,41.0,17.0,15.0,2.0,6.0,8.0,2.0,88.0,53.0,32.0,21.0,15.0,4.0,9.0
3,1,Brisbane,Brisbane International,2009-01-04,International,Outdoor,Hard,1st Round,3,Soderling R.,Querrey S.,17,36.0,2650,1740.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.49,2.65,1.53,2.37,1.5,2.625,1.4,2.85,2009-339,Brisbane,Hard,32,A,2009-01-04,12,104417,4.0,,Soderling R.,R,193.0,SWE,24.3942505133,17.0,2650.0,105023,,,Querrey S.,R,198.0,USA,21.2484599589,36.0,1740.0,6-3 6-3,3,R32,55.0,7.0,2.0,52.0,30.0,26.0,13.0,9.0,0.0,0.0,4.0,3.0,49.0,27.0,20.0,9.0,9.0,2.0,5.0
4,1,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Nieminen J.,Baghdatis M.,41,96.0,1600,950.0,5.0,7.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.72,1.95,1.85,1.83,1.83,2.0,1.8,1.88,1.88,2009-339,Brisbane,Hard,32,A,2009-01-05,15,103813,,,Nieminen J.,L,185.0,FIN,27.4551676934,41.0,1600.0,104571,,WC,Baghdatis M.,R,183.0,CYP,23.5537303217,96.0,950.0,5-7 6-1 6-4,3,R32,124.0,2.0,2.0,89.0,64.0,42.0,15.0,15.0,2.0,5.0,5.0,11.0,91.0,45.0,34.0,18.0,14.0,6.0,11.0
5,1,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Stepanek R.,Kunitsyn I.,26,45.0,2260,1562.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.17,1.4,2.75,1.4,2.875,1.37,3.0,2009-339,Brisbane,Hard,32,A,2009-01-05,9,103285,8.0,,Stepanek R.,R,185.0,CZE,30.1081451061,26.0,2260.0,103857,,,Kunitsyn I.,R,180.0,RUS,27.266255989,45.0,1562.0,6-2 6-2,3,R32,66.0,6.0,1.0,43.0,23.0,19.0,13.0,8.0,0.0,0.0,1.0,2.0,47.0,27.0,18.0,6.0,8.0,7.0,11.0
6,1,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Melzer J.,Fish M.,32,22.0,1878,2330.0,6.0,4.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.2,1.61,2.2,1.65,2.2,1.61,2.25,1.615,2.15,1.67,2009-339,Brisbane,Hard,32,A,2009-01-05,8,103781,,,Melzer J.,L,183.0,AUT,27.6249144422,32.0,1878.0,103888,6.0,,Fish M.,R,188.0,USA,27.0746064339,22.0,2330.0,6-4 4-6 7-6(4),3,R32,143.0,12.0,4.0,114.0,74.0,59.0,16.0,16.0,8.0,10.0,20.0,2.0,106.0,53.0,41.0,30.0,16.0,8.0,10.0
7,1,Brisbane,Brisbane International,2009-01-05,International,Outdoor,Hard,1st Round,3,Verdasco F.,Tomic B.,15,764.0,2830,42.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.06,9.52,1.04,9.0,1.03,11.0,1.04,11.0,2009-339,Brisbane,Hard,32,A,2009-01-05,5,104269,3.0,,Verdasco F.,L,188.0,ESP,25.1416837782,15.0,2830.0,106071,,WC,Tomic B.,R,193.0,AUS,16.2080766598,764.0,42.0,6-4 6-2,3,R32,65.0,1.0,2.0,50.0,39.0,31.0,5.0,9.0,3.0,4.0,3.0,1.0,56.0,34.0,19.0,9.0,9.0,9.0,13.0
8,1,Brisbane,Brisbane International,2009-01-06,International,Outdoor,Hard,1st Round,3,Berdych T.,Klein B.,20,248.0,2430,304.0,6.0,0.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.03,11.0,1.05,10.5,1.05,8.5,1.04,10.0,1.03,12.0,2009-339,Brisbane,Hard,32,A,2009-01-06,4,104607,5.0,,Berdych T.,R,196.0,CZE,23.3018480493,20.0,2430.0,105454,,WC,Klein B.,R,183.0,AUS,19.0143737166,248.0,304.0,6-0 6-4,3,R32,67.0,5.0,2.0,50.0,33.0,28.0,6.0,8.0,4.0,5.0,0.0,2.0,51.0,27.0,15.0,7.0,8.0,3.0,8.0
9,1,Brisbane,Brisbane International,2009-01-06,International,Outdoor,Hard,1st Round,3,Ancic M.,Delic A.,35,131.0,1800,716.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.28,3.5,1.29,3.66,1.28,3.5,1.286,3.5,1.3,3.4,2009-339,Brisbane,Hard,32,A,2009-01-06,6,104339,,,Ancic M.,R,196.0,CRO,24.7693360712,35.0,1800.0,104025,,Q,Delic A.,R,196.0,BIH,26.5188227242,131.0,716.0,7-6(2) 6-7(4) 7-6(6),3,R32,172.0,23.0,3.0,122.0,72.0,56.0,32.0,18.0,2.0,2.0,21.0,3.0,129.0,87.0,63.0,26.0,18.0,3.0,3.0
