,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Giraldo S.,28.0,57.0,1215.0,778.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.45,2.65,1.44,2.62,1.47,2.85,1.44,2.63,1.47,3.2,1.42,2.78,2013-339,Brisbane,Hard,28,A,2012-12-31,7,104252,6.0,,Mayer F.,R,190.0,GER,29.2402464066,28.0,1215.0,105053,,,Giraldo S.,R,188.0,COL,25.0951403149,57.0,778.0,6-4 6-4,3,R32,65.0,6.0,1.0,50.0,33.0,27.0,14.0,10.0,0.0,0.0,3.0,0.0,54.0,40.0,30.0,7.0,10.0,0.0,2.0
1,1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Benneteau J.,41.0,35.0,927.0,1075.0,6.0,3.0,2.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.61,2.2,1.75,2.0,1.8,1.91,1.8,2.1,1.73,2.0,1.8,2.26,1.73,2.05,2013-339,Brisbane,Hard,28,A,2012-12-31,4,103813,,,Nieminen J.,L,185.0,FIN,31.4414784394,41.0,927.0,103898,,,Benneteau J.,R,185.0,FRA,31.0308008214,35.0,1075.0,6-3 2-6 6-1,3,R32,104.0,4.0,1.0,94.0,63.0,40.0,15.0,12.0,8.0,11.0,6.0,6.0,70.0,48.0,29.0,7.0,12.0,1.0,6.0
2,1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Matosevic M.,19.0,49.0,1830.0,845.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.3,3.85,1.3,3.2,1.3,4.2,1.28,3.58,2013-339,Brisbane,Hard,28,A,2012-12-31,6,105453,5.0,,Nishikori K.,R,178.0,JPN,23.0061601643,19.0,1830.0,104594,,,Matosevic M.,R,194.0,AUS,27.3976728268,49.0,845.0,7-5 6-2,3,R32,102.0,2.0,0.0,72.0,45.0,29.0,17.0,10.0,4.0,5.0,3.0,1.0,70.0,37.0,25.0,13.0,10.0,3.0,7.0
3,1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Mitchell B.,36.0,326.0,1070.0,137.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.07,9.0,1.06,8.0,1.08,7.0,1.08,9.43,1.07,7.0,1.1,9.5,1.08,7.76,2013-339,Brisbane,Hard,28,A,2012-12-31,8,104571,,,Baghdatis M.,R,183.0,CYP,27.5400410678,36.0,1070.0,106093,,WC,Mitchell B.,R,,AUS,20.0848733744,327.0,137.0,6-4 6-4,3,R32,77.0,5.0,1.0,60.0,35.0,30.0,14.0,10.0,4.0,4.0,5.0,1.0,57.0,35.0,28.0,10.0,10.0,0.0,2.0
4,1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Klizan M.,43.0,30.0,897.0,1175.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.87,1.87,1.91,1.8,1.88,2.0,1.91,1.8,2.05,2.0,1.88,1.85,2013-339,Brisbane,Hard,28,A,2013-01-01,3,104797,,,Istomin D.,R,188.0,UZB,26.3162217659,43.0,897.0,105373,8.0,,Klizan M.,L,190.0,SVK,23.4743326489,30.0,1175.0,6-1 6-2,3,R32,70.0,6.0,2.0,53.0,33.0,28.0,8.0,8.0,2.0,2.0,3.0,3.0,57.0,31.0,19.0,9.0,7.0,9.0,13.0
5,1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Ito T.,199.0,79.0,239.0,655.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.75,2.0,1.73,2.0,1.7,2.27,1.8,1.91,1.85,2.28,1.71,2.08,2013-339,Brisbane,Hard,28,A,2013-01-01,1,105357,,Q,Millman J.,R,183.0,AUS,23.5482546201,199.0,239.0,105147,,,Ito T.,R,180.0,JPN,24.6214921287,79.0,655.0,6-4 6-1,3,R32,86.0,7.0,6.0,69.0,44.0,33.0,11.0,9.0,3.0,4.0,2.0,5.0,53.0,26.0,19.0,8.0,8.0,3.0,7.0
6,1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Levine J.,54.0,104.0,809.0,530.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.08,1.67,1.91,1.8,2.26,1.7,2.0,1.73,2.32,1.83,2.08,1.7,2013-339,Brisbane,Hard,28,A,2013-01-01,9,104268,,,Falla A.,L,185.0,COL,29.1307323751,54.0,809.0,105028,,Q,Levine J.,L,175.0,CAN,25.2128678987,104.0,530.0,6-1 7-6(8),3,R32,78.0,11.0,1.0,59.0,46.0,40.0,8.0,10.0,0.0,0.0,5.0,2.0,74.0,45.0,29.0,16.0,9.0,8.0,10.0
7,1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Kudla D.,29.0,137.0,1177.0,402.0,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,1.44,2.62,1.55,2.35,1.44,2.62,1.6,2.47,1.5,2.5,1.63,2.82,1.52,2.46,2013-339,Brisbane,Hard,28,A,2013-01-01,10,103781,7.0,,Melzer J.,L,183.0,AUT,31.6112251882,29.0,1177.0,106045,,Q,Kudla D.,R,180.0,USA,20.372347707,137.0,402.0,2-6 6-4 6-4,3,R32,107.0,5.0,1.0,78.0,55.0,40.0,12.0,14.0,3.0,6.0,3.0,3.0,91.0,48.0,37.0,20.0,14.0,4.0,7.0
8,1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Robredo T.,Harrison R.,114.0,69.0,495.0,710.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.0,1.36,2.5,1.5,2.38,1.53,2.93,1.45,2.5,1.5,3.25,1.53,2.66,1.47,2013-339,Brisbane,Hard,28,A,2013-01-01,5,103990,,,Robredo T.,R,180.0,ESP,30.6694045175,114.0,495.0,105992,,Q,Harrison R.,R,183.0,USA,20.6516084873,69.0,710.0,6-4 7-6(4),3,R32,96.0,6.0,0.0,64.0,50.0,43.0,8.0,11.0,1.0,1.0,4.0,1.0,68.0,39.0,26.0,20.0,11.0,0.0,1.0
9,1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Baker B.,48.0,61.0,866.0,756.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.4,2.8,1.44,2.62,1.38,3.3,1.4,2.75,1.45,3.55,1.39,2.87,2013-339,Brisbane,Hard,28,A,2013-01-01,12,105777,,,Dimitrov G.,R,188.0,BUL,21.6290212183,48.0,866.0,104548,,,Baker B.,R,190.0,USA,27.6714579055,61.0,756.0,6-3 7-6(8),3,R32,82.0,10.0,1.0,64.0,40.0,33.0,15.0,11.0,0.0,1.0,6.0,2.0,70.0,49.0,28.0,16.0,10.0,3.0,5.0
10,1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Ebden M.,46.0,105.0,868.0,529.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.55,2.35,1.53,2.38,1.65,2.36,1.53,2.38,1.67,2.4,1.59,2.29,2013-339,Brisbane,Hard,28,A,2013-01-01,11,105676,,,Goffin D.,R,163.0,BEL,22.0670773443,46.0,868.0,105051,,WC,Ebden M.,R,188.0,AUS,25.0978781656,105.0,529.0,6-2 6-2,3,R32,55.0,2.0,2.0,43.0,28.0,22.0,11.0,8.0,2.0,2.0,1.0,4.0,40.0,18.0,9.0,11.0,8.0,0.0,4.0
11,1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Kunitsyn I.,83.0,162.0,625.0,339.0,6.0,3.0,4.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.2,4.33,1.17,4.65,1.22,4.0,1.28,4.02,1.2,4.0,1.28,4.65,1.22,4.07,2013-339,Brisbane,Hard,28,A,2013-01-01,2,103720,,WC,Hewitt L.,R,180.0,AUS,31.8494182067,83.0,625.0,103857,,LL,Kunitsyn I.,R,180.0,RUS,31.2525667351,162.0,339.0,6-3 4-6 6-2,3,R32,124.0,8.0,2.0,69.0,34.0,29.0,21.0,13.0,1.0,2.0,7.0,5.0,99.0,53.0,37.0,19.0,14.0,6.0,10.0
12,1,Brisbane,Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Simon G.,Falla A.,16.0,54.0,2165.0,809.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.25,3.75,1.25,3.75,1.29,4.01,1.22,3.75,1.29,4.6,1.26,3.73,2013-339,Brisbane,Hard,28,A,2013-01-02,18,104468,3.0,,Simon G.,R,183.0,FRA,28.0109514031,16.0,2165.0,104268,,,Falla A.,L,185.0,COL,29.1307323751,54.0,809.0,7-6(5) 7-6(5),3,R16,132.0,5.0,1.0,89.0,43.0,28.0,28.0,12.0,6.0,9.0,6.0,2.0,76.0,43.0,27.0,20.0,12.0,1.0,4.0
13,1,Brisbane,Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Baghdatis M.,Mayer F.,36.0,28.0,1070.0,1215.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.5,2.5,1.57,2.25,1.52,2.73,1.53,2.38,1.57,3.2,1.51,2.5,2013-339,Brisbane,Hard,28,A,2013-01-02,17,104571,,,Baghdatis M.,R,183.0,CYP,27.5400410678,36.0,1070.0,104252,6.0,,Mayer F.,R,190.0,GER,29.2402464066,28.0,1215.0,6-4 6-2,3,R16,71.0,15.0,2.0,55.0,35.0,29.0,9.0,9.0,4.0,5.0,1.0,0.0,65.0,40.0,24.0,11.0,9.0,6.0,10.0
