,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Simon G.,28.0,15.0,1360.0,2145.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.68,2.1,1.62,2.25,1.68,2.31,1.76,2.35,1.66,2.2,2016-M020,Brisbane,Hard,32,A,2016-01-04,282,105777,,,Dimitrov G.,R,188.0,BUL,24.6379192334,28.0,1360.0,104468,5.0,,Simon G.,R,183.0,FRA,31.0198494182,15.0,2145.0,6-3 7-6(10),3,R32,125.0,8.0,6.0,81.0,46.0,36.0,18.0,11.0,6.0,7.0,2.0,3.0,91.0,55.0,36.0,16.0,10.0,3.0,5.0
1,1,Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Mitchell B.,277.0,231.0,185.0,225.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.82,1.9,1.8,2.0,1.9,1.99,1.9,2.1,1.77,2.0,2016-M020,Brisbane,Hard,32,A,2016-01-04,284,104735,,Q,Kamke T.,R,180.0,GER,29.6235455168,277.0,185.0,106093,,WC,Mitchell B.,R,,AUS,23.0937713895,231.0,225.0,6-2 6-4,3,R32,79.0,1.0,0.0,59.0,36.0,29.0,13.0,9.0,0.0,0.0,4.0,3.0,59.0,37.0,24.0,10.0,9.0,5.0,8.0
2,1,Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Groth S.,51.0,60.0,817.0,782.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.82,1.9,1.73,2.1,1.93,1.96,1.93,2.1,1.82,1.95,2016-M020,Brisbane,Hard,32,A,2016-01-04,280,111202,,,Chung H.,R,,KOR,19.627652293,51.0,817.0,105032,,,Groth S.,R,,AUS,28.2108145106,60.0,782.0,7-6(8) 6-4,3,R32,102.0,2.0,3.0,73.0,48.0,35.0,14.0,11.0,2.0,4.0,11.0,3.0,84.0,52.0,39.0,10.0,11.0,8.0,11.0
3,1,Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Bellucci T.,16.0,37.0,1880.0,1105.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.3,3.4,1.29,3.75,1.31,3.74,1.31,3.8,1.29,3.56,2016-M020,Brisbane,Hard,32,A,2016-01-05,277,105676,6.0,,Goffin D.,R,163.0,BEL,25.0759753593,16.0,1880.0,105064,,,Bellucci T.,L,188.0,BRA,28.0136892539,37.0,1105.0,6-4 6-4,3,R32,82.0,3.0,4.0,57.0,30.0,23.0,16.0,10.0,1.0,2.0,7.0,2.0,66.0,40.0,25.0,15.0,10.0,7.0,10.0
4,1,Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Johnson S.,22.0,32.0,1487.0,1240.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.15,1.68,2.1,1.73,2.37,1.65,2.38,1.74,2.17,1.67,2016-M020,Brisbane,Hard,32,A,2016-01-05,283,104678,,,Troicki V.,R,193.0,SRB,29.8973305955,22.0,1487.0,105449,,,Johnson S.,R,188.0,USA,26.0287474333,32.0,1240.0,7-6(3) 6-1,3,R32,70.0,3.0,2.0,56.0,34.0,28.0,13.0,10.0,1.0,3.0,3.0,0.0,62.0,33.0,20.0,14.0,9.0,4.0,8.0
5,1,Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Thiem D.,Duckworth J.,20.0,120.0,1600.0,485.0,3.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.33,3.25,1.3,3.4,1.33,3.4,1.37,3.33,1.37,3.55,1.32,3.29,2016-M020,Brisbane,Hard,32,A,2016-01-05,278,106233,8.0,,Thiem D.,R,,AUT,22.3353867214,20.0,1600.0,105902,,WC,Duckworth J.,R,183.0,AUS,23.9534565366,120.0,485.0,3-6 6-4 6-3,3,R32,113.0,4.0,2.0,80.0,48.0,35.0,21.0,14.0,2.0,4.0,14.0,1.0,93.0,42.0,32.0,26.0,14.0,6.0,9.0
6,1,Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Lajovic D.,197.0,76.0,252.0,678.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.9,1.8,2.0,1.8,2.0,1.89,2.05,1.9,1.94,1.82,2016-M020,Brisbane,Hard,32,A,2016-01-05,272,103285,,PR,Stepanek R.,R,185.0,CZE,37.1033538672,197.0,252.0,105583,,,Lajovic D.,R,180.0,SRB,25.5140314853,76.0,678.0,6-0 6-3,3,R32,67.0,3.0,2.0,48.0,25.0,18.0,16.0,8.0,2.0,2.0,0.0,2.0,46.0,25.0,15.0,8.0,7.0,4.0,8.0
7,1,Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Dodig I.,Anderson O.,87.0,813.0,636.0,25.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.06,10.0,1.06,8.0,1.08,8.0,1.07,10.95,1.09,10.95,1.06,8.73,2016-M020,Brisbane,Hard,32,A,2016-01-05,275,104471,,Q,Dodig I.,R,183.0,CRO,31.0034223135,87.0,636.0,117352,,Q,Anderson O.,U,,AUS,17.6810403833,813.0,25.0,6-3 6-2,3,R32,67.0,11.0,2.0,49.0,30.0,24.0,13.0,9.0,0.0,0.0,3.0,1.0,52.0,30.0,22.0,9.0,8.0,3.0,6.0
8,1,Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Nishioka Y.,78.0,117.0,672.0,495.0,4.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,2.25,1.57,2.25,1.6,2.2,1.67,2.38,1.64,2.45,1.67,2.28,1.61,2016-M020,Brisbane,Hard,32,A,2016-01-05,276,106298,,,Pouille L.,R,,FRA,21.8617385352,78.0,672.0,106415,,Q,Nishioka Y.,L,,JPN,20.2710472279,117.0,495.0,4-6 6-3 7-5,3,R32,143.0,17.0,2.0,95.0,64.0,53.0,15.0,16.0,2.0,4.0,4.0,3.0,120.0,64.0,42.0,30.0,15.0,12.0,15.0
9,1,Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Istomin D.,65.0,61.0,762.0,781.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.05,1.72,2.1,1.73,2.14,1.78,2.18,1.79,2.09,1.71,2016-M020,Brisbane,Hard,32,A,2016-01-05,271,105062,,,Kukushkin M.,R,183.0,KAZ,28.0246406571,65.0,762.0,104797,,,Istomin D.,R,188.0,UZB,29.325119781,61.0,781.0,6-2 7-5,3,R32,84.0,1.0,3.0,67.0,36.0,27.0,20.0,10.0,3.0,3.0,6.0,0.0,53.0,32.0,22.0,12.0,10.0,4.0,7.0
