,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Auckland,ASB Classic,2017-01-01,International,Outdoor,Hard,1st Round,3,Safarova L.,Allertova D.,62.0,91.0,940.0,718.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.6,1.4,2.75,1.54,2.63,1.54,2.78,1.48,2.62,2017-1049,Auckland,Hard,32,I,2017-01-01,280,201425,,,Safarova L.,L,177.0,CZE,29.9110198494,62,940,202653,,,Allertova D.,R,,CZE,23.8247775496,91,718,6-1 6-2,3,R32,63.0,8.0,3.0,41.0,23.0,18.0,9.0,7.0,0.0,1.0,3.0,9.0,57.0,30.0,15.0,7.0,8.0,5.0,11.0
1,1,Auckland,ASB Classic,2017-01-01,International,Outdoor,Hard,1st Round,3,Nara K.,Lottner A.,76.0,180.0,797.0,313.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.3,3.4,1.3,2.9,1.33,3.25,1.33,3.6,1.36,3.6,1.32,3.31,2017-1049,Auckland,Hard,32,I,2017-01-01,279,201597,,,Nara K.,R,,JPN,25.0102669405,76,797,204430,,WC,Lottner A.,R,,GER,20.3887748118,180,313,6-2 6-2,3,R32,64.0,2.0,1.0,53.0,37.0,24.0,7.0,8.0,4.0,6.0,1.0,2.0,40.0,28.0,10.0,5.0,8.0,3.0,9.0
2,1,Auckland,ASB Classic,2017-01-02,International,Outdoor,Hard,1st Round,3,Williams S.,Parmentier P.,2.0,69.0,7050.0,886.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.1,7.0,1.06,6.0,1.08,8.5,1.08,9.69,1.1,9.69,1.08,7.54,2017-1049,Auckland,Hard,32,I,2017-01-02,285,200033,1.0,,Williams S.,R,175.0,USA,35.2689938398,2,7050,201426,,,Parmentier P.,R,175.0,FRA,30.9212867899,69,886,6-3 6-4,3,R32,75.0,8.0,4.0,63.0,30.0,24.0,17.0,10.0,8.0,10.0,2.0,2.0,49.0,29.0,17.0,10.0,9.0,1.0,5.0
3,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Osaka N.,Beck A.,48.0,51.0,1161.0,1125.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.5,1.48,2.5,1.52,2.69,1.52,2.8,1.46,2.64,2017-1049,Auckland,Hard,32,I,2017-01-03,271,211768,,,Osaka N.,R,,JPN,19.2142368241,48,1161,202470,,,Beck A.,R,170.0,GER,22.8774811773,51,1125,6-2 6-4,3,R32,94.0,6.0,3.0,45.0,22.0,18.0,13.0,9.0,2.0,4.0,0.0,2.0,67.0,48.0,27.0,6.0,9.0,7.0,12.0
4,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Davis L.,Bertens K.,61.0,22.0,960.0,1977.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.5,2.35,1.45,2.38,1.53,2.54,1.57,2.55,1.59,2.44,1.53,2017-1049,Auckland,Hard,32,I,2017-01-03,278,201616,,,Davis L.,R,157.0,USA,23.2334017796,61,960,202428,5.0,,Bertens K.,R,182.0,NED,25.0650239562,22,1977,7-6(3) 6-4,3,R32,150.0,1.0,2.0,74.0,44.0,28.0,17.0,11.0,1.0,4.0,6.0,5.0,74.0,46.0,28.0,14.0,11.0,2.0,6.0
5,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Ostapenko J.,Erakovic M.,44.0,105.0,1225.0,611.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.66,2.1,1.58,2.1,1.73,2.1,1.74,2.2,1.75,2.2,1.7,2.11,2017-1049,Auckland,Hard,32,I,2017-01-03,282,211533,7.0,,Ostapenko J.,R,,LAT,19.5701574264,44,1225,201523,,WC,Erakovic M.,R,174.0,NZL,28.8268309377,105,611,6-1 6-2,3,R32,69.0,5.0,4.0,48.0,31.0,23.0,7.0,7.0,0.0,1.0,4.0,4.0,63.0,36.0,20.0,7.0,8.0,7.0,13.0
6,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Brengle M.,Loeb J.,72.0,188.0,870.0,287.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,1.66,2.1,1.68,1.95,1.8,2.0,1.8,2.11,1.8,2.16,1.73,2.06,2017-1049,Auckland,Hard,32,I,2017-01-03,284,201483,,,Brengle M.,R,,USA,26.7515400411,72,870,211222,,Q,Loeb J.,U,,USA,21.8234086242,188,287,6-4 7-6(5),3,R32,94.0,1.0,0.0,76.0,61.0,36.0,6.0,11.0,3.0,6.0,1.0,3.0,75.0,41.0,27.0,13.0,11.0,0.0,4.0
7,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Wickmayer Y.,Larsson J.,58.0,50.0,984.0,1150.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.72,2.0,1.68,1.95,1.8,2.0,1.83,2.07,1.86,2.1,1.78,2.0,2017-1049,Auckland,Hard,32,I,2017-01-03,272,201518,,,Wickmayer Y.,R,182.0,BEL,27.2032854209,58,984,201596,,,Larsson J.,R,174.0,SWE,28.3778234086,50,1150,6-1 6-2,3,R32,60.0,6.0,1.0,46.0,31.0,27.0,6.0,8.0,2.0,2.0,0.0,3.0,50.0,31.0,15.0,8.0,7.0,7.0,11.0
8,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Gibbs N.,19.0,88.0,2185.0,742.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.16,5.0,1.14,4.5,1.17,4.5,1.19,5.36,1.19,5.5,1.16,4.97,2017-1049,Auckland,Hard,32,I,2017-01-03,274,201496,3.0,,Wozniacki C.,R,177.0,DEN,26.4804928131,19,2185,202484,,,Gibbs N.,R,,USA,23.8357289528,88,742,6-1 6-0,3,R32,50.0,1.0,0.0,36.0,25.0,22.0,7.0,7.0,0.0,0.0,0.0,4.0,38.0,21.0,10.0,5.0,6.0,3.0,8.0
9,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Konjuh A.,Flipkens K.,47.0,64.0,1189.0,923.0,6.0,4.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,1.53,2.37,1.5,2.25,1.62,2.25,1.61,2.44,1.62,2.54,1.57,2.37,2017-1049,Auckland,Hard,32,I,2017-01-03,273,211951,8.0,,Konjuh A.,R,,CRO,19.0171115674,47,1189,201465,,,Flipkens K.,R,165.0,BEL,30.9787816564,64,923,6-4 3-6 6-3,3,R32,124.0,10.0,6.0,105.0,57.0,41.0,25.0,14.0,6.0,8.0,2.0,3.0,87.0,47.0,33.0,22.0,14.0,4.0,7.0
